%Time4 coef_friccion4
1000.139 0.0951
1000.299 0.09515
1000.459 0.09326
1000.609 0.09299
1000.769 0.09287
1000.919 0.0947
1001.079 0.09432
1001.239 0.09396
1001.399 0.09444
1001.549 0.0962
1001.709 0.09601
1001.869 0.09609
1002.029 0.09384
1002.179 0.09317
1002.339 0.09255
1002.499 0.09252
1002.659 0.09045
1002.809 0.0901
1002.969 0.08991
1003.119 0.09186
1003.279 0.09137
1003.439 0.09084
1003.599 0.09118
1003.749 0.09246
1003.909 0.09207
1004.069 0.09197
1004.229 0.09232
1004.379 0.09353
1004.539 0.09293
1004.699 0.09316
1004.859 0.09119
1005.009 0.09073
1005.169 0.09037
1005.319 0.09246
1005.479 0.09213
1005.639 0.09158
1005.799 0.09185
1005.949 0.09337
1006.109 0.09286
1006.269 0.09259
1006.429 0.09282
1006.579 0.09402
1006.739 0.09335
1006.899 0.09345
1007.059 0.09141
1007.209 0.0906
1007.369 0.08988
1007.519 0.09217
1007.679 0.09099
1007.839 0.09027
1007.999 0.09046
1008.149 0.09211
1008.309 0.09163
1008.469 0.09121
1008.629 0.09168
1008.779 0.09305
1008.939 0.09244
1009.099 0.09248
1009.259 0.09046
1009.409 0.0899
1009.569 0.08924
1009.719 0.09186
1009.879 0.09169
1010.039 0.09114
1010.199 0.09105
1010.349 0.09272
1010.509 0.09222
1010.669 0.09164
1010.829 0.09222
1010.979 0.09372
1011.139 0.09316
1011.299 0.09307
1011.459 0.09091
1011.609 0.09018
1011.769 0.08953
1011.929 0.08964
1012.089 0.08768
1012.239 0.08721
1012.399 0.08707
1012.549 0.08887
1012.709 0.08848
1012.869 0.08788
1013.029 0.08841
1013.179 0.08998
1013.339 0.08953
1013.499 0.08951
1013.659 0.08984
1013.809 0.09099
1013.969 0.09024
1014.129 0.09066
1014.289 0.08871
1014.439 0.08822
1014.599 0.08797
1014.749 0.09001
1014.909 0.08952
1015.069 0.0888
1015.229 0.08919
1015.379 0.09067
1015.539 0.09014
1015.699 0.08991
1015.859 0.0903
1016.009 0.09069
1016.169 0.08983
1016.329 0.09011
1016.489 0.08804
1016.639 0.08761
1016.799 0.08714
